Admin2,Admin3,Admin4,Province,Partner,Municipality,Barangay,Household Latrines Construction Started,Construction of Household Latrines Completed,Relocation Latrines Completed,# of RC 143 Volunteers Trained on HP (PHAST & Simplified HP),Households with access to safe water supply,# of households reached on PHAST,Schools Identified,Schools WatSan Facilities Construction Started,Schools WatSan Facilities Completed,# Individuals trained in CHAST,# of students reached on CHAST,Community - Based WatSan Facilities,Additional Comments
PH060400000,PH060401000,PH060401001,Aklan,IFRC,Altavas,Cabangila,0,0,0,31,,,0,0,,,,0,
PH060400000,PH060401000,PH060401010,Aklan,IFRC,Altavas,Odiong,,0,,32,,,,,,,,,
PH060400000,PH060402000,PH060402001,Aklan,Spanish Red Cross,Balete,Aranas,0,0,0,19,,,,0,0,,,1,
PH060400000,PH060402000,PH060402002,Aklan,Spanish Red Cross,Balete,Arcangel,0,0,0,20,,,,0,0,,,1,
PH060400000,PH060402000,PH060402004,Aklan,Spanish Red Cross,Balete,Calizo,0,0,,10,,,,,0,,,0,
PH060400000,PH060402000,PH060402005,Aklan,Spanish Red Cross,Balete,Cortes,0,0,0,29,,,,0,0,,,1,
PH060400000,PH060402000,PH060402006,Aklan,Spanish Red Cross,Balete,Feliciano,0,0,0,28,,,,0,0,,,1,
PH060400000,PH060402000,PH060402007,Aklan,Spanish Red Cross,Balete,Fulgencio,0,0,,8,,,,,,,,1,0
PH060400000,PH060402000,PH060402008,Aklan,Spanish Red Cross,Balete,Guanko,0,0,0,13,,,,0,,,,1,
PH060400000,PH060402000,PH060402009,Aklan,Spanish Red Cross,Balete,Morales,0,0,,7,,,,,,,,0,
PH060400000,PH060402000,PH060402010,Aklan,Spanish Red Cross,Balete,Oquendo,0,0,,0,,,,,,,,0,
PH060400000,PH060402000,PH060402011,Aklan,Spanish Red Cross,Balete,Poblacion,0,0,,134,,,,,,,,0,
PH060400000,PH060403000,PH060403002,Aklan,IFRC,Banga,Bacan,4,4,0,19,,,,0,0,,,0,
PH060400000,PH060403000,PH060403003,Aklan,IFRC,Banga,Badiangan,3,3,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403004,Aklan,IFRC,Banga,Cerrudo,2,2,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403006,Aklan,IFRC,Banga,Daguitan,3,3,,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403009,Aklan,IFRC,Banga,Dingle,9,9,,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403012,Aklan,IFRC,Banga,Libas,10,10,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403014,Aklan,IFRC,Banga,Mambog,3,3,,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403015,Aklan,IFRC,Banga,Mangan,6,6,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403016,Aklan,IFRC,Banga,Muguing,3,3,,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403017,Aklan,IFRC,Banga,Pagsanghan,5,5,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403020,Aklan,IFRC,Banga,Polo,2,2,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403021,Aklan,IFRC,Banga,Polocate,2,2,,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403026,Aklan,IFRC,Banga,Tabayon,12,12,0,0,,,,0,0,,,0,
PH060400000,PH060403000,PH060403030,Aklan,IFRC,Banga,Venturanza,14,14,0,0,,,,0,0,,,0,
PH060400000,PH060403000,#N/A,Aklan,IFRC,Banga,Plocate,2,2,0,,,,,0,,,,0,
PH060400000,PH060408000,PH060408001,Aklan,Air Asia,Lezo,Agcawilan,28,28,,,,,,0,,,,,
PH060400000,PH060408000,PH060408002,Aklan,Air Asia,Lezo,Bagto,6,6,,0,,,0,0,,,,,
PH060400000,PH060408000,PH060408003,Aklan,Air Asia,Lezo,Bugasongan,3,3,,0,,,0,0,,,,,
PH060400000,PH060408000,PH060408004,Aklan,Air Asia,Lezo,Carugdog,20,20,0,0,,,0,0,0,0,,0,
PH060400000,PH060408000,PH060408005,Aklan,Air Asia,Lezo,Cogon,8,8,,,,,,,,,,,
PH060400000,PH060408000,PH060408006,Aklan,Air Asia,Lezo,Ibao,21,21,,,,,0,0,,,,,
PH060400000,PH060408000,PH060408007,Aklan,Air Asia,Lezo,Mina,9,9,,,,,0,0,,,,,
PH060400000,PH060408000,PH060408008,Aklan,Air Asia,Lezo,Poblacion,10,10,0,,,,,0,,,,0,
PH060400000,PH060408000,PH060408010,Aklan,Air Asia,Lezo,Santa Cruz Bigaa,9,9,0,,,,,0,,,,0,
PH060400000,PH060408000,PH060408012,Aklan,Air Asia,Lezo,Tayhawan,16,16,,,,0,0,0,,0,,0,
PH060400000,PH060408000,#N/A,Aklan,Air Asia,Lezo,Silakat Nonok,20,20,,,,,,0,,,,0,
PH060400000,PH060409000,PH060409001,Aklan,Finnish Red Cross,Libacao,Agmailig,0,0,,5,0,36,0,,,0,,0,0
PH060400000,PH060409000,PH060409002,Aklan,Finnish Red Cross,Libacao,Alfonso XII,0,0,,4,0,55,0,,,0,,0,
PH060400000,PH060409000,PH060409003,Aklan,Finnish Red Cross,Libacao,Batobato,0,0,,3,0,39,0,,,0,,0,
PH060400000,PH060409000,PH060409004,Aklan,Finnish Red Cross,Libacao,Bonza,0,0,,2,0,23,0,,,0,,0,
PH060400000,PH060409000,PH060409005,Aklan,Finnish Red Cross,Libacao,Calacabian,0,0,,5,0,43,0,,,0,,0,
PH060400000,PH060409000,PH060409006,Aklan,Finnish Red Cross,Libacao,Calamcan,0,0,,3,0,16,0,,,0,,0,
PH060400000,PH060409000,PH060409007,Aklan,Finnish Red Cross,Libacao,Can-Awan,0,0,,3,0,28,0,,,0,,0,
PH060400000,PH060409000,PH060409008,Aklan,Finnish Red Cross,Libacao,Casit-an,0,0,,2,0,27,0,,,0,,0,0
PH060400000,PH060409000,PH060409010,Aklan,Finnish Red Cross,Libacao,Guadalupe,0,0,,11,0,25,0,,,0,,0,
PH060400000,PH060409000,PH060409011,Aklan,Finnish Red Cross,Libacao,Janlud,0,0,,0,0,54,0,,,0,,0,
PH060400000,PH060409000,PH060409012,Aklan,Finnish Red Cross,Libacao,Julita,0,0,,9,0,90,0,,,0,,0,0
PH060400000,PH060409000,PH060409013,Aklan,Finnish Red Cross,Libacao,Luctoga,0,0,,6,0,70,0,,,0,,0,
PH060400000,PH060409000,PH060409014,Aklan,Finnish Red Cross,Libacao,Magugba,0,0,,4,0,30,0,,,0,,0,
PH060400000,PH060409000,PH060409015,Aklan,Finnish Red Cross,Libacao,Manika,0,0,,0,0,,0,,,0,,,
PH060400000,PH060409000,PH060409016,Aklan,Finnish Red Cross,Libacao,Ogsip,0,0,,7,0,23,0,,,0,,0,
PH060400000,PH060409000,PH060409017,Aklan,Finnish Red Cross,Libacao,Ortega,0,0,,5,0,50,0,,,0,,0,0
PH060400000,PH060409000,PH060409018,Aklan,Finnish Red Cross,Libacao,Oyang,0,0,,0,0,,,,,,,,
PH060400000,PH060409000,PH060409019,Aklan,Finnish Red Cross,Libacao,Pampango,0,0,,7,0,90,0,,,0,,0,
PH060400000,PH060409000,PH060409020,Aklan,Finnish Red Cross,Libacao,Pinonoy,0,0,,4,0,24,0,,,0,,0,
PH060400000,PH060409000,PH060409022,Aklan,Finnish Red Cross,Libacao,Rivera,0,0,,3,0,28,0,,,0,,0,0
PH060400000,PH060409000,PH060409023,Aklan,Finnish Red Cross,Libacao,Rosal,0,0,,5,0,77,0,,,0,,0,
PH060400000,PH060409000,PH060409024,Aklan,Finnish Red Cross,Libacao,Sibalew,0,0,,4,0,17,0,,,0,,0,
PH060400000,PH060410000,PH060410001,Aklan,Spanish Red Cross,Madalag,Alaminos,6,3,,5,,,,,,,,1,0
PH060400000,PH060410000,PH060410002,Aklan,Spanish Red Cross,Madalag,Alas-as,12,1,0,5,,0,0,0,0,0,,0,0
PH060400000,PH060410000,PH060410003,Aklan,Spanish Red Cross,Madalag,Bacyang,3,1,0,2,112,,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410004,Aklan,Spanish Red Cross,Madalag,Balactasan,6,4,,5,,,,0,0,0,,1,0
PH060400000,PH060410000,PH060410005,Aklan,Spanish Red Cross,Madalag,Cabangahan,0,0,,5,,0,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410006,Aklan,Spanish Red Cross,Madalag,Cabilawan,,,,5,,,,,,,,,0
PH060400000,PH060410000,PH060410007,Aklan,Spanish Red Cross,Madalag,Catabana,0,0,0,5,106,,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410008,Aklan,Spanish Red Cross,Madalag,Dit-Ana,,,,5,,,,,,,,,0
PH060400000,PH060410000,PH060410009,Aklan,Spanish Red Cross,Madalag,Galicia,0,0,,3,,,,0,,,,1,0
PH060400000,PH060410000,PH060410010,Aklan,Spanish Red Cross,Madalag,Guinatu-an,0,0,,5,,0,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410011,Aklan,Spanish Red Cross,Madalag,Logohon,23,9,0,5,124,0,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410012,Aklan,Spanish Red Cross,Madalag,Mamba,33,32,,5,,0,0,0,0,0,,0,0
PH060400000,PH060410000,PH060410013,Aklan,Spanish Red Cross,Madalag,Maria Cristina,,,,5,,,,,,,,,0
PH060400000,PH060410000,PH060410014,Aklan,Spanish Red Cross,Madalag,Medina,0,0,,5,,,,0,0,,,0,0
PH060400000,PH060410000,PH060410015,Aklan,Spanish Red Cross,Madalag,Mercedes,0,0,,3,,,,0,0,,,1,0
PH060400000,PH060410000,PH060410016,Aklan,Spanish Red Cross,Madalag,Napnot,0,0,,3,132,0,0,,,0,,1,0
PH060400000,PH060410000,PH060410017,Aklan,Spanish Red Cross,Madalag,Pang-Itan,,,,3,,,,,,,,,0
PH060400000,PH060410000,PH060410018,Aklan,Spanish Red Cross,Madalag,Paningayan,0,0,,5,,,,,,,,0,0
PH060400000,PH060410000,PH060410019,Aklan,Spanish Red Cross,Madalag,Panipiason,0,0,,0,,,,,,,,0,0
PH060400000,PH060410000,PH060410020,Aklan,Spanish Red Cross,Madalag,Poblacion,20,18,,5,,,,0,0,,,0,0
PH060400000,PH060410000,PH060410021,Aklan,Spanish Red Cross,Madalag,San Jose,0,0,,3,,,,,,,,0,0
PH060400000,PH060410000,PH060410022,Aklan,Spanish Red Cross,Madalag,Singay,0,0,,5,,0,0,0,0,0,,1,0
PH060400000,PH060410000,PH060410023,Aklan,Spanish Red Cross,Madalag,Talangban,0,0,,4,,,,,,,,1,0
PH060400000,PH060410000,PH060410024,Aklan,Spanish Red Cross,Madalag,Talimagao,0,0,,2,79,0,0,,,0,,1,0
PH060400000,PH060410000,PH060410025,Aklan,Spanish Red Cross,Madalag,Tigbawan,0,1,0,0,,0,0,0,0,0,,0,0
PH060400000,PH060415000,PH060415001,Aklan,IFRC,New Washington,Candelaria,22,22,,0,,,,,,,,,
PH060400000,PH060415000,PH060415002,Aklan,IFRC,New Washington,Cawayan,37,37,0,0,,0,1,1,0,0,,0,
PH060400000,PH060415000,PH060415003,Aklan,IFRC,New Washington,Dumaguit,61,61,,0,,,0,0,,,,,
PH060400000,PH060415000,PH060415005,Aklan,IFRC,New Washington,Guinbaliwan,83,83,0,0,,,,0,,,,0,
PH060400000,PH060415000,PH060415006,Aklan,IFRC,New Washington,Jalas,64,64,0,,,0,0,0,,0,,0,
PH060400000,PH060415000,PH060415007,Aklan,IFRC,New Washington,Jugas,57,57,,,,0,0,0,,0,,0,
PH060400000,PH060415000,PH060415009,Aklan,IFRC,New Washington,Mabilo,81,81,0,0,,0,1,1,1,0,,0,
PH060400000,PH060415000,PH060415011,Aklan,IFRC,New Washington,Ochando,66,66,0,0,,0,1,1,1,0,,0,
PH060400000,PH060415000,PH060415014,Aklan,IFRC,New Washington,Polo,0,0,,,,0,1,1,,0,,0,
PH060400000,PH060415000,PH060415015,Aklan,IFRC,New Washington,Puis,105,105,0,0,,0,1,1,,0,,0,
PH060400000,PH060415000,#N/A,Aklan,IFRC,New Washington,Lawaan,49,49,,,,0,0,0,,0,,0,
PH060400000,#N/A,#N/A,Aklan,IFRC,New Wasshington,Polo,2,2,,,,,,,,,,,
PH060600000,PH060602000,PH060602002,Antique,IFRC,Barbaza,Baghari,2,2,,,,,0,,,,,,
PH060600000,PH060602000,PH060602003,Antique,IFRC,Barbaza,Bahuyan,8,8,,,,,0,,,,,,
PH060600000,PH060602000,PH060602004,Antique,IFRC,Barbaza,Beri,39,39,,,,0,0,,,0,,0,
PH060600000,PH060602000,PH060602006,Antique,IFRC,Barbaza,Binangbang,28,28,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,Antique,IFRC,Barbaza,Cubay,25,25,,10,,178,0,0,,0,,0,
PH060600000,PH060602000,PH060602013,Antique,IFRC,Barbaza,Esparar,28,28,,,,,,,,,,,
PH060600000,PH060602000,PH060602014,Antique,IFRC,Barbaza,Gua,18,18,,,,,,,,,,,
PH060600000,PH060602000,PH060602016,Antique,IFRC,Barbaza,Igpalge,19,16,,,,,0,,,,,,
PH060600000,PH060602000,PH060602020,Antique,IFRC,Barbaza,Ipil,24,24,,,,0,0,,,0,,0,
PH060600000,PH060602000,PH060602021,Antique,IFRC,Barbaza,Jinalinan,30,19,,,,,0,,,,,,
PH060600000,PH060602000,PH060602024,Antique,IFRC,Barbaza,Lisub,11,11,,10,,166,0,0,,,,,
PH060600000,PH060602000,PH060602026,Antique,IFRC,Barbaza,Mablad,3,3,,,,,,,,,,,
PH060600000,PH060602000,PH060602027,Antique,IFRC,Barbaza,Magtulis,22,22,,,,0,0,,,0,,0,
PH060600000,PH060602000,PH060602030,Antique,IFRC,Barbaza,Mayos,0,0,,,,,,,,,,,
PH060600000,PH060602000,PH060602033,Antique,IFRC,Barbaza,Palma,41,41,,,,0,0,,,0,,0,
PH060600000,PH060602000,PH060602034,Antique,IFRC,Barbaza,Poblacion,20,12,,,,,0,,,,,,
PH060600000,PH060602000,PH060602035,Antique,IFRC,Barbaza,San Antonio,23,23,,8,,168,0,0,,,,,
PH060600000,PH060602000,PH060602040,Antique,IFRC,Barbaza,Yapo,10,10,,,,,0,,,,,,
PH060600000,PH060602000,#N/A,Antique,IFRC,Barbaza,Binanuan,10,10,,,,0,0,,,0,,0,
PH060600000,PH060602000,#N/A,Antique,IFRC,Barbaza,Embranggaan,10,10,,,,0,0,,,0,,0,
PH060600000,PH060609000,PH060609002,Antique,IFRC,Laua-an,Banban,5,5,,,,,0,,,,,,
PH060600000,PH060609000,PH060609004,Antique,IFRC,Laua-an,Cabariwan,3,3,,,,,,,,,,,
PH060600000,PH060609000,PH060609008,Antique,IFRC,Laua-an,Casit-an,,0,,0,,,1,,,,,,
PH060600000,PH060609000,PH060609011,Antique,IFRC,Laua-an,Guisijan,22,19,,0,,,1,,,,,,
PH060600000,PH060609000,PH060609012,Antique,IFRC,Laua-an,Igtadiao,2,0,,,,,,,,,,,
PH060600000,PH060609000,PH060609013,Antique,IFRC,Laua-an,Intao,15,15,,8,,156,,0,,,,,
PH060600000,PH060609000,PH060609022,Antique,IFRC,Laua-an,Liya-liya,1,1,,,,,,,,,,,
PH060600000,PH060609000,PH060609026,Antique,IFRC,Laua-an,Maria,8,8,,0,,,0,,,,,,
PH060600000,PH060609000,PH060609027,Antique,IFRC,Laua-an,Mauno,8,8,,,,,0,,,,,,
PH060600000,PH060609000,PH060609030,Antique,IFRC,Laua-an,Oloc,8,8,,,,,0,,,,,,
PH060600000,PH060609000,PH060609031,Antique,IFRC,Laua-an,Omlot,5,5,,,,,,,,,,,
PH060600000,PH060609000,PH060609043,Antique,IFRC,Laua-an,Bagongbayan,10,10,,0,,,0,,,,,,
PH060600000,PH060609000,#N/A,Antique,IFRC,Laua-an,Guinbanggaan,7,1,,0,,,1,,,,,,
PH060600000,PH060609000,#N/A,Antique,IFRC,Laua-an,Jaguiquican,,0,,0,,0,1,1,,,,,
PH060600000,PH060615000,PH060615001,Antique,IFRC,Sebaste,Abiera,37,37,,,,,,,,,,,
PH060600000,PH060615000,PH060615002,Antique,IFRC,Sebaste,Aguila,18,18,,,,,,,,,,,
PH060600000,PH060615000,PH060615003,Antique,IFRC,Sebaste,Alegre,8,8,,,,,,,,,,,
PH060600000,PH060615000,PH060615004,Antique,IFRC,Sebaste,Aras-asan,12,12,,,,,,,,,,,
PH060600000,PH060615000,PH060615005,Antique,IFRC,Sebaste,Bacalan,42,42,,,,,,,,,,,
PH060600000,PH060615000,PH060615006,Antique,IFRC,Sebaste,Callan,31,31,,0,,0,1,1,,0,,0,
PH060600000,PH060615000,PH060615007,Antique,IFRC,Sebaste,Nauhon,12,12,,12,,202,,0,,,,,
PH060600000,PH060615000,PH060615009,Antique,IFRC,Sebaste,Poblacion,33,33,,0,,0,1,1,,0,,0,
PH060600000,PH060615000,PH060615010,Antique,IFRC,Sebaste,Idio,32,32,,,,,,,,,,,
PH060600000,PH060615000,#N/A,Antique,IFRC,Sebaste,P.Javier,7,7,,,,,,,,,,,
PH060600000,PH060617000,PH060617001,Antique,German Red Cross,Tibiao,Alegre,,0,,2,,41,0,,,,,,
PH060600000,PH060617000,PH060617004,Antique,German Red Cross,Tibiao,Castillo,,0,,2,,41,0,,,,,,
PH060600000,PH060617000,PH060617005,Antique,German Red Cross,Tibiao,Esparagoza,,0,,4,,86,0,,,,,,
PH060600000,PH060617000,PH060617006,Antique,German Red Cross,Tibiao,Importante,,0,,14,,291,0,,,,,,
PH060600000,PH060617000,PH060617007,Antique,German Red Cross,Tibiao,La Paz,,0,,12,,264,0,,,,,,
PH060600000,PH060617000,PH060617009,Antique,German Red Cross,Tibiao,Martinez,,0,,19,,406,0,,,,,,
PH060600000,PH060617000,PH060617010,Antique,German Red Cross,Tibiao,Natividad,,0,,8,,117,0,,,,,,
PH060600000,PH060617000,PH060617014,Antique,German Red Cross,Tibiao,San Francisco Norte,,0,,16,,296,0,,,,,,
PH060600000,PH060617000,PH060617016,Antique,German Red Cross,Tibiao,San Isidro,,0,,11,,238,0,,,,,,
PH060600000,PH060617000,PH060617020,Antique,German Red Cross,Tibiao,Tigbaboy,,0,,4,,99,0,,,,,,
PH060600000,PH060617000,#N/A,Antique,German Red Cross,Tibiao,Sta. Ana,,0,,6,,90,0,,,,,,
PH060600000,#N/A,#N/A,Antique,German Red Cross,San Jose,Bariri,,0,,10,,205,0,,,,,,
PH060600000,#N/A,#N/A,Antique,German Red Cross,San Jose,Bugarot,,0,,9,,190,0,,,,,,
PH060600000,#N/A,#N/A,Antique,German Red Cross,San Jose,Durog,,0,,3,,80,0,,,,,,
PH061900000,PH061903000,PH061903009,Capiz,German Red Cross,Dumalag,San Martin,35,35,,4,,,,0,,0,,0,
PH061900000,PH061903000,PH061903010,Capiz,German Red Cross,Dumalag,San Miguel,,,,19,,,,,,,,,
PH061900000,PH061903000,PH061903011,Capiz,German Red Cross,Dumalag,San Rafael,63,59,,16,,0,0,0,0,0,,1,
PH061900000,PH061903000,PH061903018,Capiz,German Red Cross,Dumalag,Santo Angel,,,,26,,,,,,,,,
PH061900000,PH061904000,PH061904003,Capiz,German Red Cross,Dumarao,Aglanot,,,,14,,,,,,,,,
PH061900000,PH061904000,PH061904006,Capiz,German Red Cross,Dumarao,Agsirab,,,,10,,,,,,,,,
PH061900000,PH061904000,PH061904011,Capiz,German Red Cross,Dumarao,Calapawan,0,0,,9,,,,,,,,,
PH061900000,PH061904000,PH061904017,Capiz,German Red Cross,Dumarao,Guinotos,0,0,,8,,,,,,0,,,
PH061900000,PH061904000,PH061904021,Capiz,German Red Cross,Dumarao,Lawaan,2,2,,18,,,,,,,,,
PH061900000,PH061904000,PH061904023,Capiz,German Red Cross,Dumarao,Malonoy,0,0,,9,,,,,,,,,
PH061900000,PH061904000,PH061904030,Capiz,German Red Cross,Dumarao,Sagrada Familia,2,2,,22,,,,,,,,,
PH061900000,PH061904000,PH061904032,Capiz,German Red Cross,Dumarao,San Juan,0,0,,10,,,,,,,,,
PH061900000,PH061904000,PH061904034,Capiz,German Red Cross,Dumarao,Tamulalod,0,0,,7,,,,,,,,,
PH061900000,PH061904000,PH061904036,Capiz,German Red Cross,Dumarao,Tina,,,,14,,,,,,,,,
PH061900000,PH061905000,PH061905002,Capiz,Taiwan Red Cross Organisation,Ivisan,Agustin Navarra,1,1,,,,,,,,,,,
PH061900000,PH061905000,PH061905005,Capiz,Hong Kong Red Cross (Branch of the Red Cross Society of China),Ivisan,Cabugao,16,10,,,,,,,0,,,,
PH061900000,PH061905000,PH061905010,Capiz,Hong Kong Red Cross (Branch of the Red Cross Society of China),Ivisan,Matnog,20,20,,,,0,0,,,0,,0,
PH061900000,PH061905000,#N/A,Capiz,Hong Kong Red Cross (Branch of the Red Cross Society of China),Ivisan,Sta. Cruz,36,33,,,,0,0,,0,0,,0,
PH061900000,PH061909000,PH061909001,Capiz,IFRC,Panay,Agbalo,34,14,,,,,,,0,,,,
PH061900000,PH061909000,PH061909004,Capiz,IFRC,Panay,Anhawon,23,0,,,,,,,0,,,,
PH061900000,PH061909000,PH061909006,Capiz,IFRC,Panay,Bago Chiquito,24,24,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909007,Capiz,IFRC,Panay,Bago Grande,10,10,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909008,Capiz,IFRC,Panay,Bahit,7,7,,,,,0,0,,0,,,
PH061900000,PH061909000,PH061909011,Capiz,IFRC,Panay,Binangig,8,8,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909012,Capiz,IFRC,Panay,Binantuan,23,23,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909017,Capiz,IFRC,Panay,Cabugao Oeste,38,38,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909020,Capiz,IFRC,Panay,Candual,17,17,,,,,,0,,,,,
PH061900000,PH061909000,PH061909022,Capiz,IFRC,Panay,Daga,11,0,,,,,,,,,,,
PH061900000,PH061909000,PH061909027,Capiz,IFRC,Panay,Libon,21,21,,,,,,0,,,,,
PH061900000,PH061909000,PH061909028,Capiz,IFRC,Panay,Linao,34,34,,,,0,1,1,1,18,,0,
PH061900000,PH061909000,PH061909030,Capiz,IFRC,Panay,Lomboy,21,18,,,,,,,0,,,,
PH061900000,PH061909000,PH061909031,Capiz,IFRC,Panay,Lus-Onan,28,28,,,,,1,1,1,18,,0,
PH061900000,PH061909000,PH061909032,Capiz,IFRC,Panay,Magubilan,37,37,,0,,,0,0,,0,,0,
PH061900000,PH061909000,PH061909035,Capiz,IFRC,Panay,Pili,13,13,,,,0,0,,0,0,,0,
PH061900000,PH061910000,PH061910004,Capiz,IFRC,Panitan,Ambilay,42,42,0,0,,,1,1,1,17,,0,
PH061900000,PH061910000,PH061910005,Capiz,IFRC,Panitan,Bahit,28,15,0,0,,,1,1,1,18,,0,
PH061900000,PH061910000,PH061910006,Capiz,IFRC,Panitan,Balatucan,28,28,0,0,,,0,0,0,0,,0,
PH061900000,PH061910000,PH061910008,Capiz,IFRC,Panitan,Cabugao,29,29,,0,,,0,0,,0,,0,
PH061900000,PH061910000,PH061910009,Capiz,IFRC,Panitan,Cabangahan,21,21,,,,,1,1,1,18,,0,
PH061900000,PH061910000,PH061910010,Capiz,IFRC,Panitan,Cadio,36,36,,,,0,0,,,0,,0,
PH061900000,PH061910000,PH061910012,Capiz,IFRC,Panitan,Capagao,33,33,,,,,,,,,,,
PH061900000,PH061910000,PH061910014,Capiz,IFRC,Panitan,Conciencia,45,29,,,,,,,0,,,,
PH061900000,PH061910000,PH061910015,Capiz,IFRC,Panitan,Ensenagan,34,34,,,,,,,0,,,,
PH061900000,PH061910000,PH061910017,Capiz,IFRC,Panitan,Pasugue,13,13,,0,,,,,,0,,,
PH061900000,PH061910000,#N/A,Capiz,IFRC,Panitan,Calaan,32,32,,0,,,0,0,0,0,,,
PH061900000,PH061917000,PH061917001,Capiz,German Red Cross,Tapaz,Abangay,,,,6,,,,,,,,,
PH061900000,PH061917000,PH061917003,Capiz,German Red Cross,Tapaz,Agcococ,,,,9,,,,,,,,,
PH061900000,PH061917000,PH061917004,Capiz,German Red Cross,Tapaz,Aglinab,7,7,,6,,,,,,,,0,
PH061900000,PH061917000,PH061917008,Capiz,German Red Cross,Tapaz,Artuz,,,,16,,,,,,,,,
PH061900000,PH061917000,PH061917036,Capiz,German Red Cross,Tapaz,Roxas,2,2,,12,,,,,,,,,
PH063000000,PH063001000,PH063001001,Iloilo,British Red Cross,Ajuy,Adcadarao,0,0,,0,,0,1,,,,,,
PH063000000,PH063001000,PH063001002,Iloilo,British Red Cross,Ajuy,Agbobolo,,,,,,,,,,,,,
